Order Date,Visits,Signups
2025-09-01,717,"28"
2025-09-01,920,66
2025-09-03,967,54
2025-09-04,942,38
2025-09-05,742,53
2025-09-06,644,44
2025-09-07,592,28
2025-09-08,629,29
2025-09-09,777,60
2025-09-10,878,47
2025-09-11,875,68
2025-09-12,834,66
2025-09-13,648,39
2025-09-14,669,46
2025-09-15,887,50
2025-09-16,913,51
2025-09-17,896,38
2025-09-18,965,58
2025-09-19,812,40
2025-09-20,598,40
2025-09-21,637,41
2025-09-22,916,48
2025-09-23,893,42
2025-09-24,881,42
2025-09-25,811,59
2025-09-26,761,45
2025-09-27,537,NA
2025-09-28,632,49
2025-09-29, ,55
2025-09-30,922,null
2025-09-28,632,49

